City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-04-21 16:51:22,-46.6,168.3333,46.8,85,100,21.09
1,Konstantinovskiy,RU,2022-04-21 16:51:23,57.8301,39.5899,55.11,65,5,5.91
2,Lebu,CL,2022-04-21 16:49:22,-37.6167,-73.65,53.42,97,100,17.58
3,Jamestown,US,2022-04-21 16:51:23,42.097,-79.2353,51.39,76,100,14.97
4,Saint-Philippe,RE,2022-04-21 16:51:24,-21.3585,55.7679,78.39,87,49,10.51
5,Dikson,RU,2022-04-21 16:51:25,73.5069,80.5464,2.1,98,99,12.12
6,Thompson,CA,2022-04-21 16:51:25,55.7435,-97.8558,30.36,37,20,10.36
7,Rundu,NA,2022-04-21 16:51:26,-17.9333,19.7667,66.74,47,28,5.26
8,Kodiak,US,2022-04-21 16:51:26,57.79,-152.4072,38.71,81,40,6.91
9,New Norfolk,AU,2022-04-21 16:51:27,-42.7826,147.0587,49.5,70,48,2.95
10,Albany,US,2022-04-21 16:48:49,42.6001,-73.9662,57.94,44,99,3.0
11,Castro,BR,2022-04-21 16:51:27,-24.7911,-50.0119,74.59,53,3,6.11
12,Ushuaia,AR,2022-04-21 16:51:28,-54.8,-68.3,42.46,75,75,16.11
13,Port Macquarie,AU,2022-04-21 16:47:06,-31.4333,152.9167,62.89,94,100,6.91
14,Eatonton,US,2022-04-21 16:51:28,33.3268,-83.3885,77.23,56,96,5.48
15,Ulaanbaatar,MN,2022-04-21 16:50:27,47.9077,106.8832,33.93,60,75,2.24
16,Victoria,HK,2022-04-21 16:51:29,22.2855,114.1577,76.32,84,65,8.01
17,Rikitea,PF,2022-04-21 16:51:29,-23.1203,-134.9692,76.15,82,99,18.5
18,Atuona,PF,2022-04-21 16:51:30,-9.8,-139.0333,79.2,80,16,17.09
19,Faya,SA,2022-04-21 16:48:10,18.3851,42.4509,71.71,49,5,4.25
20,Osypenko,UA,2022-04-21 16:51:30,46.9136,36.8253,45.59,88,100,6.93
21,Kahului,US,2022-04-21 16:48:30,20.8947,-156.47,73.85,79,40,12.66
22,Hobart,AU,2022-04-21 16:48:05,-42.8794,147.3294,49.86,78,100,8.05
23,Yellowknife,CA,2022-04-21 16:51:31,62.456,-114.3525,23.56,54,20,5.75
24,Deer Lake,CA,2022-04-21 16:51:32,49.1667,-57.4316,40.86,48,40,12.66
25,Saint George,US,2022-04-21 16:47:50,37.1041,-113.5841,76.62,21,0,11.5
26,Piacabucu,BR,2022-04-21 16:51:32,-10.4056,-36.4344,84.45,66,62,9.89
27,Klaksvik,FO,2022-04-21 16:51:33,62.2266,-6.589,52.72,93,38,12.95
28,Puerto Ayora,EC,2022-04-21 16:51:34,-0.7393,-90.3518,76.96,80,43,8.1
29,Qaanaaq,GL,2022-04-21 16:51:34,77.484,-69.3632,-3.06,79,0,0.58
30,Punta Arenas,CL,2022-04-21 16:51:34,-53.15,-70.9167,44.71,65,75,17.27
31,Barrow,US,2022-04-21 16:51:35,71.2906,-156.7887,-2.18,78,0,11.5
32,Hilo,US,2022-04-21 16:51:35,19.7297,-155.09,81.28,90,100,8.05
33,Nome,US,2022-04-21 16:51:36,64.5011,-165.4064,30.27,64,0,9.22
34,Ribeira Grande,PT,2022-04-21 16:51:36,38.5167,-28.7,59.4,58,20,14.97
35,Sao Filipe,CV,2022-04-21 16:51:37,14.8961,-24.4956,75.07,71,29,11.81
36,Poso,ID,2022-04-21 16:51:37,-1.3959,120.7524,77.65,87,96,4.05
37,Cape Town,ZA,2022-04-21 16:48:58,-33.9258,18.4232,66.61,66,0,13.8
38,Nyurba,RU,2022-04-21 16:51:37,63.2842,118.3319,21.49,97,99,4.18
39,Georgetown,MY,2022-04-21 16:48:19,5.4112,100.3354,84.15,88,20,3.44
40,Kassala,SD,2022-04-21 16:51:38,15.451,36.4,100.94,17,44,8.97
41,Sambava,MG,2022-04-21 16:49:21,-14.2667,50.1667,73.38,94,100,7.02
42,Oum Hadjer,TD,2022-04-21 16:51:39,13.2954,19.6966,99.27,18,80,6.11
43,Mataura,NZ,2022-04-21 16:47:08,-46.1927,168.8643,46.47,98,100,7.61
44,Bengkulu,ID,2022-04-21 16:49:20,-3.8004,102.2655,77.34,88,100,5.93
45,Chokurdakh,RU,2022-04-21 16:51:40,70.6333,147.9167,-8.0,100,94,1.77
46,Luderitz,NA,2022-04-21 16:52:41,-26.6481,15.1594,64.42,75,1,7.81
